"Source:","F:\my_proj\stopwater\stopwater\Power_Supply L072.kicad_sch"
"Date:","07.11.2023 14:23:31"
"Tool:","Eeschema 7.0.2"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","66"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","ALTIUM_VALUE","CODE","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","DES","ID","KEY IMBASE","KT","MANUFACTURER","MANUFACTURER PN","MANUFACTURERPARTNUMBER","PART NUMBER","PDF","PN","POWER/VOLTAGE","REM","SMD","STOP_MIRROR","TKE","TOLERANCE","VENDOR","VENDOR PN","VOLTAGE","КОРПУС","ПРИМЕЧАНИЕ"
"1","3","C1, C6, C8","10nF 0603","Power_Supply L072-altium-import:root_1_10nF 0603","0603","","","1u","","","","","","","","","","","","","6195","","","","","","","","","NIC","","50В","",""
"2","1","C2","22u 0603","Power_Supply L072-altium-import:root_0_GRM188R60J226MEA0D","0603","","","22u","","","","","","","","","","","","","5716","","","25В","","","","X7R","±10%","Murata","GRM188R60J226MEA0D","","",""
"3","1","C3","1000pF 300VAC","Power_Supply L072-altium-import:root_2_1000pF 300VAC","L16W5  V","","","10nF","","","","","","","","","","","","","6226","","","","","","","","","Vishay","VY2102M29Y5US6TV7","","",""
"4","2","C4, C7","4.7uF 400V","Power_Supply L072-altium-import:root_0_TX2G4R7M-RBG12","D10P5L12","","","4.7uF 400V","110683","","","","","","","","","FUJICON","TX2G4R7M-RBG12","","6024","","","","","","","","","","","","",""
"5","1","C5","10uF 35V","Power_Supply L072-altium-import:root_0_GRM21BC7YA475KE11L","0805","","","10uF 35V","","","","","","","","","110432","","","","5244","","","50В","","","","NP0","±5%","Murata","GRM21BC8YA106KE11","","",""
"6","1","C9","1000pF 300VAC","Power_Supply L072-altium-import:root_2_1000pF 300VAC","1206","","","1000pF","","","","","","","","","","","","","5556","","","","","","","","","Vishay","VY2102M29Y5US6TV7","","",""
"7","1","C10","470nF 0603","Power_Supply L072-altium-import:root_1_0.47µF 0603","0603","","","0.47µF","110105","","","","","","","","","NIC","NMC0603X7R474K25TRP","","5093","","","","","","","","","","","25В","",""
"8","1","C11","1000pF 300VAC","Power_Supply L072-altium-import:root_1_1000pF 300VAC","L12.5W5","","","4700pF","","","","","","","","","","","","","5669","","","","","","","","","Vishay","","","",""
"9","1","C12","1000pF 300VAC","Power_Supply L072-altium-import:root_1_1000pF 300VAC","L7.5W5H6P7.5","","","220pF","","","","","","","","","","","","","6223","","","","","","","","","Vishay","VY2102M29Y5US6TV7","","",""
"10","2","C13, C14","SMD 0805-1000пФ±5% 50В X7R","Power_Supply L072-altium-import:root_2_Cap_NP","0805","","","1nF","","Параметры конденсатора","ftp://192.168.1.200/Datasheets/Epcos/Capacitors/X7R_CC capacitors.pdf","","","","i60026C508220F00009C","i60026C508220F00009C","","","","","6225","","","50В","SMD","","","X7R","±5%","","","","0805","*"
